-1.68925,6.7774,7.08548,1477193662184
0.06712,4.30489,10.47647,120
-1.59824,6.75766,2.20331,119
-8.73172,6.31219,-5.97844,113
-2.92702,0.97429,-8.45149,110
8.55669,4.03705,-0.28252,120
-5.63718,-2.43515,12.10011,120
-5.94884,-5.52466,16.39522,120
-3.57561,-1.53398,1.12228,107
-8.95886,3.8168,-5.04266,108
-2.91605,3.58685,-7.3793,119
7.06755,5.49304,0.65086,116
7.92241,2.05061,5.55956,112
14.97942,-1.09833,-4.6373,111
8.19731,-1.42197,-2.25446,118
-0.65012,-4.18416,-9.4169,106
6.5056,-2.86945,-4.21632,110
-4.2973,-2.60962,-8.08179,120
-6.84061,-0.61775,-14.55876,112
1.27753,5.09474,-7.9261,105
0.91046,2.40002,-2.62949,104
-4.99094,-0.06805,9.79314,103
-3.90346,-8.68388,28.39882,108
-7.04102,-3.28349,1.41496,105
-3.37961,0.71085,-17.06416,116
0.01666,4.75688,-15.81047,107
0.43637,3.25488,-0.61308,113
-5.41216,0.99014,8.07709,122
-3.08698,-6.28738,22.45769,116
-6.91177,-3.38092,5.12216,121
-8.83708,-0.68431,-1.82704,110
-3.50029,0.44218,-12.64391,115
9.75566,5.98911,-12.54196,112
7.42201,8.61133,2.94514,117
-3.49925,0.66924,11.84538,110
-6.30515,-6.326,18.99477,111
-6.04654,3.35118,-8.2317,120
-7.64304,6.09995,-12.65997,113
1.5067,7.35541,-6.78523,105
-2.17662,0.23058,9.18321,115
-2.56908,-1.66219,13.44722,112
-2.6974,3.35664,9.12881,120
-0.50758,6.60924,3.50325,114
0.35089,6.34067,7.10689,114
1.35071,6.9465,7.0986,122
1.28712,7.31859,5.85364,106
0.74896,6.66599,6.68282,110
0.60109,6.53369,7.66443,114
1.85168,7.40501,2.32367,107
-1.0332,5.63431,7.72336,79166
-0.26106,6.51331,8.88063,107
-0.78786,6.58412,8.1084,114
-3.90558,6.35454,4.25102,117
-5.41064,7.1086,2.25417,112
-2.99818,9.24756,2.56567,118
1.69759,9.02969,-4.39154,116
2.04079,8.17493,-10.00749,116
0.90488,7.75388,-5.70898,118
1.95062,7.77339,-5.37108,112
4.69032,7.36098,-3.3631,132
6.73039,6.62012,-2.50229,114
6.15129,6.74213,-0.11023,117
7.59962,5.65785,5.23329,112
5.356,6.37459,5.39075,108
-1.29999,6.35883,6.49153,104
-3.97635,7.45282,5.86594,112
-3.34488,6.06871,7.23827,118
-3.33786,6.20308,6.91785,107
-4.49997,6.2666,6.21164,111
-5.18538,3.7923,6.23483,113
